,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,VIX,Liquidity,3MTB,Yield,Credit,GSPC,IYR
1,-0.03912502,-0.078014591,-0.07706905,-0.206477026,-0.006928013,-0.165936936,-0.043155012,-0.014881828,-0.046455275,-0.089937888,-0.072508833,-0.061154705,-0.196677417,-0.029363969,-0.07661715,-0.13909824,-0.075320989,-0.071335915,-0.046746988,0.001288058,-0.013338873,-0.104510542,-0.025156025,-0.030217389,-0.128538907,-0.104321878,-0.084737637,-0.038530462,-0.060682674,-0.017741706,-0.028899541,-0.02003892,-0.047437885,-0.063514134,-0.042561842,-0.087631348,-0.014433325,-0.03087704,-0.082860394,-0.109063339,0.004985765,-0.019589716,-0.014848341,-0.055200901,-0.059493288,-0.013178787,-0.036796936,-0.033647629,0.007620705,-0.007913172,-0.074183964,0.014769398,-0.189431555,-0.016941358,0.009029407,-0.113976387,-0.01704135,-0.061527675,-0.131589113,0.029870375,0.016306635,-0.095758019,-0.046417643,-0.067745034,0.010325023,-0.176250223,-0.03317477,0.001395004,-0.003058599,-0.044646161,-0.111488732,-0.051526485,-0.092139008,-0.066729487,-0.072581773,-0.05077525,-0.053016279,-0.195975179,-0.071166635,-0.156639568,-0.07738383,-0.297909207,-0.132059332,-0.018139505,-0.207043118,-0.015031145,-0.018319258,-0.005225842,-0.167045132,0.003325024,-0.041107484,0.016222496,-0.187993712,-0.154062974,-0.060291822,-0.218940938,-0.01020417,-0.092000211,-0.012127991,-0.111015248,0.185935465,0.422764228,0.540880503,0.329519451,0.194323144,0.7268543,0.571665757
2,-0.053418272,-0.01932175,-0.073427469,-0.111180111,-0.005503591,-0.053518305,-0.108058087,-0.017412485,-0.025800646,-0.097333156,-0.098236322,-0.113184407,-0.187904447,-0.038466281,-0.096652762,-0.109110552,-0.087675167,-0.114272096,-0.074616684,-0.021190687,-0.049530534,-0.102409336,-0.066577065,-0.04797509,-0.096931748,-0.099134315,-0.062368344,-0.027398974,-0.025112541,-0.028954404,-0.026231747,-0.036940915,-0.035009744,-0.013104019,-0.036559896,-0.072520548,-0.061609917,0.012099792,-0.083627688,-0.062349538,-0.021544819,-0.013337323,-0.09247355,-0.057013415,-0.09883349,-0.036672105,-0.024260554,-0.034703798,-0.037757498,-0.087113413,-0.080539833,-0.019956442,-0.083740363,-0.011247468,-0.011299555,-0.12675056,-0.005138464,-0.02907929,-0.1240802,0.009362939,-0.019838786,-0.054067221,-0.037804081,-0.115818012,-0.137076729,-0.1820697,-0.087247287,-0.001796946,-0.025741447,-0.038469211,-0.100168175,-0.016410594,-0.02051354,-0.044277674,-0.072819133,-0.085650573,-0.086382446,-0.168529722,0.005112921,-0.09691622,-0.099098352,-0.309863717,-0.110846618,-0.037133165,-0.12242936,0.012759344,-0.026263983,-0.053028174,-0.173661882,-0.102138419,-0.017391743,-0.097589816,-0.134445609,-0.060013426,-0.110533135,-0.032682647,-0.102515564,-0.113113815,0.00516797,-0.073983307,0.156706699,0.479674797,0.616352201,0.340961098,0.222707424,0.688914765,0.552731693
3,-0.067786095,-0.024284049,-0.09548541,-0.072787184,-0.012215588,-0.071360906,-0.077538333,-0.046463961,0.035306814,-0.130101819,-0.059444113,-0.109011433,-0.148933876,-0.077105973,-0.098607693,-0.117637275,-0.172209207,-0.09622786,-0.027691307,0.015529532,-0.029373556,-0.102398541,-0.035347921,-0.037180214,-0.069019154,-0.070073012,0.003026293,-0.072983333,-0.019887438,-0.039586786,-0.029903011,-0.027619237,-0.016896364,-0.034629514,0.005436009,-0.033096872,-0.049349422,0.011471687,-0.029992237,0.030812886,-0.016973874,-0.025003759,-0.106195688,-0.078550341,-0.027661338,-0.02082156,-0.034493047,-0.070679471,-0.098986897,-0.032436416,-0.072705373,-0.022268165,0.0116525,0.015119759,-0.017166583,-0.184167849,-0.033807893,-0.07203794,-0.168364532,-0.078174756,-0.076379184,-0.057249223,-0.098824926,-0.064276828,-0.175148026,-0.208459349,-0.054948804,-0.029811633,-0.118780057,0.033286623,-0.015910343,0.018787914,0.055713493,-0.047301875,-0.099670699,-0.020192336,-0.055765724,0.025075396,0.052223986,-0.08939071,-0.080899386,-0.065618231,-0.054211194,-0.056370049,0.107843727,0.007106228,-0.033716878,-0.084002669,-0.203384427,-0.05864802,-0.02700197,-0.196572352,-0.14448574,-0.236629094,-0.045676316,-0.000511247,-0.206857472,-0.122629944,-0.020434154,-0.087160913,0.19172334,0.691056911,0.528301887,0.411899314,0.231441048,0.56023971,0.285158999
4,-0.067977172,-0.041574614,-0.09037014,-0.118125859,-0.015241357,-0.057467402,-0.11708656,-0.016767271,-0.020374616,-0.115282631,-0.111736778,-0.122836563,-0.076922389,-0.030676766,-0.122578457,-0.127521807,-0.114835811,-0.113729237,-0.075922121,-0.030104486,-0.052341971,-0.115830632,-0.060112063,-0.04702987,-0.067362895,-0.106868047,-0.075564508,-0.025958394,-0.032412963,-0.042416622,-0.03131755,-0.049775774,-0.046797282,-0.023799483,-0.043673695,-0.048131091,-0.078512668,-0.00875918,-0.094646116,-0.048462443,-0.035509108,-0.025111591,-0.125501735,-0.035767332,-0.099164346,-0.051168032,-0.02737676,-0.044326139,-0.024799872,-0.088684788,-0.032120747,0.006907136,-0.021408804,-0.040571251,-0.024728841,-0.027734192,-0.005248092,-0.027728321,-0.0264121,-0.002848934,0.005578815,-0.068492465,-0.0073228,-0.142559134,-0.141917822,-0.148606891,-0.092549693,-0.001734197,-0.074872313,-0.027518451,-0.172317111,-0.035595032,-0.028647405,-0.060170281,-0.021559707,-0.102368897,-0.105010643,-0.105583581,-0.027784851,-0.105991568,-0.053917422,-0.233967892,-0.045316922,-0.030921633,-0.093968612,-0.001574803,-0.04621566,-0.070804304,-0.197118242,-0.098128109,-0.094809638,-0.128193833,-0.126172567,-0.034728534,-0.082208843,-0.136729463,-0.138930619,-0.04094139,-0.010507978,-0.055190163,0.122268847,0.512195122,0.672955975,0.395881007,0.216157205,0.67437676,0.549932815
5,-0.091020324,-0.072697907,-0.103609219,-0.207996637,-0.077528155,-0.14031989,-0.159220534,-0.039140969,-0.023051812,-0.15076552,-0.170467963,-0.152056222,-0.070986486,-0.048162166,-0.147219739,-0.182608169,-0.137528108,-0.142287246,-0.030354025,-0.070249942,-0.062175375,-0.145815033,-0.07883312,-0.054733718,-0.109818424,-0.143778942,-0.106919687,-0.052281507,-0.057209092,-0.063611484,-0.049644253,-0.093464116,-0.070112415,-0.054320469,-0.105761302,-0.100553214,-0.095594641,-0.047575348,-0.157369637,-0.099297258,-0.070271706,-0.044199193,-0.151994736,-0.06781993,-0.132023336,-0.074264066,-0.052464056,-0.056631285,-0.042377598,-0.158402578,-0.077883506,-0.038932734,-0.106017906,-0.093611718,-0.047628049,-0.089393651,-0.112406216,-0.11138463,-0.080680149,-0.095671793,-0.089036438,-0.162338644,-0.033847091,-0.150041789,-0.228307657,-0.006212412,-0.090248733,-0.018227294,-0.106269784,-0.106034918,-0.205743117,-0.089192171,-0.097163748,-0.131499867,-0.099510102,-0.158825425,-0.132018777,-0.201440366,-0.115029041,-0.173649218,-0.081783038,-0.155149182,-0.084461145,-0.100550309,-0.240914154,-0.053410752,-0.094025582,-0.158110913,-0.11276373,-0.20145833,-0.18621905,-0.202179849,-0.219881843,-0.106710071,-0.13955521,-0.222821477,-0.192832436,-0.077185438,-0.027943786,-0.098049995,0.155115034,0.341463415,0.79245283,0.356979405,0.211790393,0.625985722,0.426338485
6,-0.028372026,-0.001733103,-0.040970978,-0.132112023,-0.042994166,-0.076318912,-0.099471184,-0.050943233,0.011892971,-0.082348561,-0.095843036,-0.097996373,-0.055760979,-0.08988979,-0.068647649,-0.103511394,-0.092031191,-0.124603315,0.003448959,-0.013917539,-0.04794414,-0.075884019,-0.054971836,-0.034853143,-0.040956558,-0.092226407,-0.014886195,-0.033411407,-0.053189044,-0.04374785,-0.022635795,-0.022807598,0.007880638,-0.006760045,-0.037393634,-0.037350398,-0.064013435,-0.012878017,-0.055667179,0.006172355,-0.003373949,-0.040707299,-0.054858121,-0.055973596,-0.068417658,-0.041971729,-0.041439342,-0.024666782,-0.05559837,-0.062894306,-0.088718389,-0.058313671,-0.012885902,-0.052995621,-0.060222034,-0.05547622,-0.030912593,-0.037305306,-0.036451379,-0.180864012,-0.165949408,-0.144458853,-0.087386903,-0.118700888,-0.209656404,-0.051825068,-0.04594161,-0.051764792,-0.014164203,-0.078654493,-0.059541369,-0.030492145,-0.00532355,-0.075267849,-0.100074808,-0.110398051,-0.108712957,-0.07991385,-0.054922953,-0.122388958,-0.05928705,-0.171194877,-0.085447992,-0.095281669,-0.093287934,0.015196979,-0.072631441,-0.178187611,-0.061349997,-0.169257526,-0.117436842,-0.191426447,-0.102049254,-0.012045735,-0.055965685,-0.03200992,-0.162762043,-0.057459744,-0.042620708,-0.104842247,0.201418029,0.406504065,0.641509434,0.290617849,0.220524017,0.491612537,0.307093572
7,-0.101646447,-0.04299195,-0.068020823,-0.155391067,-0.041037306,-0.071001941,-0.122714439,-0.055548508,-0.111311592,-0.072580578,-0.114987556,-0.103508812,-0.110996011,-0.068947657,-0.06885267,-0.095862819,-0.145570874,-0.156897269,-0.073312533,-0.079767945,-0.061815675,-0.081280247,-0.081152117,-0.051553781,-0.061175596,-0.118323811,-0.036309274,-0.108132991,-0.091147575,-0.132738266,-0.101565634,-0.029233619,-0.060550291,-0.039530839,-0.06382256,-0.06869284,-0.085104209,-0.100870162,-0.097088221,-0.105536479,-0.07038862,-0.116786158,-0.08313862,-0.034210862,-0.112626608,-0.054909327,-0.051411841,-0.015739177,-0.034451229,-0.103440691,-0.059807962,-0.055142006,-0.070212533,-0.100823778,-0.037914449,-0.08654959,-0.134196065,-0.049784923,-0.067904869,-0.207796256,-0.098343297,-0.105798052,-0.115141026,-0.122138297,-0.192274116,-0.054658413,-0.161738391,-0.001515109,-0.063893984,-0.085373241,-0.116649644,-0.082351035,-0.034916265,-0.044053358,-0.182126834,-0.104310248,-0.119236089,-0.14160391,-0.093122474,-0.115068299,-0.116052517,-0.220631718,-0.141039423,-0.070019544,-0.216523736,-0.060999224,-0.187218517,-0.105557064,-0.151369037,-0.214555693,-0.116988221,-0.14271209,-0.131743288,-0.060796188,-0.108682152,-0.11756479,-0.070617567,-0.05478288,-0.045311065,-0.10588258,0.197655911,0.333333333,0.591194969,0.28375286,0.248908297,0.61480637,0.497882029
8,-0.089279958,0.017103558,-0.019780441,-0.20213615,-0.058534093,-0.065030778,-0.139263921,-0.068736493,-0.110248677,-0.042529073,-0.137607614,-0.085746531,-0.094909297,-0.109020867,-0.041706736,-0.059137857,-0.14126352,-0.201531788,-0.047414773,-0.117976451,-0.076419052,-0.047563961,-0.088268496,-0.04493552,-0.032002798,-0.133645754,-0.050272365,-0.094101111,-0.13312606,-0.159499272,-0.107186683,-0.013870059,-0.083928261,-0.021143347,-0.08971703,-0.011870703,-0.109577569,-0.155045856,-0.096140963,-0.085914123,-0.068465865,-0.169003383,-0.09469756,-0.053674691,-0.129068283,-0.087592083,-0.066903866,0.011109169,-0.001416472,-0.105324701,-0.07565832,-0.058570123,-0.059317685,-0.072425181,-0.034230673,-0.080899821,-0.171718801,-0.054089551,-0.067053589,-0.276885638,-0.201868854,-0.135961898,-0.159703641,-0.150271624,-0.138167367,-0.059264202,-0.164445351,-0.025438574,0.003860025,-0.140910469,-0.034803922,-0.093188992,0.020101179,-0.054670601,-0.245161326,-0.136622334,-0.161765084,-0.127404618,-0.150936236,-0.101483273,-0.132926863,-0.295776109,-0.15395093,-0.11772467,-0.158758474,-0.087406042,-0.21546676,-0.20062163,-0.133959678,-0.265281614,-0.110545244,-0.264403737,-0.006727259,0.008069239,-0.07555079,0.027845766,-0.046492595,-0.037623341,1.13E-17,-0.120418793,0.248299812,0.227642276,0.553459119,0.281464531,0.27510917,0.461814289,0.394021302
9,-0.045775616,-0.038135434,0.01198584,-0.208484284,-0.008620817,-0.063691124,-0.166262057,-0.030409291,-0.125545154,0.019676675,-0.143178143,-0.073868146,-0.140840771,-0.051685002,-0.043966232,0.033979909,-0.107046837,-0.246268272,-0.127384938,-0.109103732,-0.042806547,-0.038119249,-0.063948205,-0.056315371,-0.041258877,-0.08345243,-0.101672241,-0.096534537,-0.112257055,-0.14752465,-0.121595578,-0.023391938,-0.027252452,-0.037990966,-0.067463229,0.019568316,-0.109241906,-0.13591983,-0.1184592,-0.152066163,-0.018783966,-0.130962075,-0.11953152,-0.011707594,-0.182312216,-0.051869961,-0.086861506,0.015568488,0.061938263,-0.115960161,-0.038077094,0.018661088,-0.084556064,-0.04591698,0.032634282,-0.080639032,-0.026423146,-0.066702562,0.003344071,-0.18897534,-0.009715755,0.027689141,-0.068386038,-0.088188541,-0.140618286,0.063533261,-0.247029737,0.045641281,0.095208144,-0.093991733,0.056695344,-0.171577158,0.004962789,0.051656041,-0.258852751,-0.111614156,-0.130178126,-0.033661384,-0.053597564,0.107012208,-0.130981563,0.018792499,-0.187577299,0.048538018,-0.236098347,-0.110148894,-0.237112963,-0.066391864,-0.024752181,0.035032055,-0.071804412,0.04347202,0.011436291,0.062960749,-0.105567795,-0.014026028,-0.152147124,0.017068581,-0.008873173,-0.077277547,0.275792215,0.292682927,0.13836478,0.42791762,0.310043668,0.651785662,0.690646145
10,-0.140098017,-0.202489613,-0.157609195,-0.333431694,-0.069116381,-0.143538947,-0.266017393,-0.043744151,-0.243180975,-0.143317738,-0.23476831,-0.207153017,-0.081430091,-0.045377327,-0.219881558,-0.195357585,-0.257070011,-0.299978186,-0.150897001,-0.191764031,-0.086264756,-0.180404852,-0.084567509,-0.103007498,-0.110213182,-0.193782495,-0.22245698,-0.181538153,-0.105550018,-0.171221913,-0.186837073,-0.146398458,-0.110854805,-0.067412996,-0.183661267,-0.082511291,-0.152630445,-0.136965756,-0.278092501,-0.314099488,-0.109032014,-0.086082125,-0.2036635,-0.018486528,-0.142620268,-0.081990054,-0.036367644,-0.069210445,-0.024179128,-0.284902418,-0.1504076,-0.073607296,-0.158179781,-0.165529312,-0.106528448,-0.188995455,-0.186573002,-0.108646579,-0.08136531,-0.290399164,-0.058648727,-0.100738141,-0.129304787,-0.144254275,-0.369426475,-0.1331174,-0.311175653,0.010711656,-0.194770885,-0.184334351,-0.082440593,-0.201609648,-0.051319818,-0.08519346,-0.281402296,-0.216759687,-0.147666775,-0.29606916,-0.099815649,-0.108265541,-0.153885264,-0.202697649,-0.226505189,-0.101439807,-0.399406494,-0.118826339,-0.265985675,-0.172305137,-0.237425847,-0.121726285,-0.22691822,-0.135781542,-0.276076998,-0.148612717,-0.16348796,-0.191856271,-0.212357934,-0.029326676,-0.014362904,-0.08330312,0.202575604,0.154471545,0.547169811,0.47826087,0.310043668,0.790070675,0.66573185
